"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"154","Dryas octopetala","Dryas","","octopetala",NA,NA,"","","rjp-26",TRUE,"1.1","Accepted","Rosaceae","Dryas","","octopetala","","","L.","rjp-26","Accepted",FALSE,FALSE,FALSE,2022-02-28
"155","Dryopteris filix-mas","Dryopteris","","filix-mas",NA,NA,"","","tro-26602214",TRUE,"1.1","Accepted","Dryopteridaceae","Dryopteris","","filix-mas","","","(L.) Schott","tro-26602214","Accepted",FALSE,FALSE,FALSE,2022-02-28
"156","Dupontia fisheri","Dupontia","","fisheri",NA,NA,"","","kew-410096",TRUE,"1.1","Accepted","Poaceae","Dupontia","","fisheri","","","R.Br.","kew-410096","Accepted",FALSE,FALSE,FALSE,2022-02-28
"157","Eleocharis palustris","Eleocharis","","palustris",NA,NA,"","","kew-242738",TRUE,"1.1","Accepted","Cyperaceae","Eleocharis","","palustris","","","(L.) Roem. & Schult.","kew-242738","Accepted",FALSE,FALSE,FALSE,2022-02-28
"158","Elymus repens","Elymus","","repens",NA,NA,"","","kew-411505",TRUE,"1.1","Accepted","Poaceae","Elymus","","repens","","","(L.) Gould","kew-411505","Accepted",FALSE,FALSE,FALSE,2022-02-28
"159","Elymus trachycaulus","Elymus","","trachycaulus",NA,NA,"","","kew-411630",TRUE,"1.1","Accepted","Poaceae","Elymus","","trachycaulus","","","(Link) Gould ex Shinners","kew-411630","Accepted",FALSE,FALSE,FALSE,2022-02-28
"160","Empetrum nigrum","Empetrum","","nigrum",NA,NA,"","","kew-2788473",TRUE,"1.1","Accepted","Ericaceae","Empetrum","","nigrum","","","L.","kew-2788473","Accepted",FALSE,FALSE,FALSE,2022-02-28
"161","Epilobium alpestre","Epilobium","","alpestre",NA,NA,"","","kew-2790071",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","alpestre","","","(Jacq.) Krock.","kew-2790071","Accepted",FALSE,FALSE,FALSE,2022-02-28
"162","Epilobium anagallidifolium","Epilobium","","anagallidifolium",NA,NA,"","","kew-2790101",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","anagallidifolium","","","Lam.","kew-2790101","Accepted",FALSE,FALSE,FALSE,2022-02-28
"163","Epilobium angustifolium","Epilobium","","angustifolium",NA,NA,"","","kew-2790112",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","angustifolium","","","L.","kew-2790112","Accepted",FALSE,FALSE,FALSE,2022-02-28
"164","Epilobium latifolium","Epilobium","","latifolium",NA,NA,"","","kew-2790620",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","latifolium","","","L.","kew-2790620","Accepted",FALSE,FALSE,FALSE,2022-02-28
"165","Epilobium palustre","Epilobium","","palustre",NA,NA,"","","kew-2790841",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","palustre","","","L.","kew-2790841","Accepted",FALSE,FALSE,FALSE,2022-02-28
"166","Epipactis atrorubens","Epipactis","","atrorubens",NA,NA,"","","kew-70091",TRUE,"1.1","Accepted","Orchidaceae","Epipactis","","atrorubens","","","(Hoffm.) Besser","kew-70091","Accepted",FALSE,FALSE,FALSE,2022-02-28
"167","Equisetum arvense","Equisetum","","arvense",NA,NA,"","","tro-26602003",TRUE,"1.1","Accepted","Equisetaceae","Equisetum","","arvense","","","L.","tro-26602003","Accepted",FALSE,FALSE,FALSE,2022-02-28
"168","Equisetum fluviatile","Equisetum","","fluviatile",NA,NA,"","","tro-26602005",TRUE,"1.1","Accepted","Equisetaceae","Equisetum","","fluviatile","","","L.","tro-26602005","Accepted",FALSE,FALSE,FALSE,2022-02-28
"169","Equisetum palustre","Equisetum","","palustre",NA,NA,"","","tro-26602010",TRUE,"1.1","Accepted","Equisetaceae","Equisetum","","palustre","","","L.","tro-26602010","Accepted",FALSE,FALSE,FALSE,2022-02-28
"170","Equisetum scirpoides","Equisetum","","scirpoides",NA,NA,"","","tro-26602012",TRUE,"1.1","Accepted","Equisetaceae","Equisetum","","scirpoides","","","Michx.","tro-26602012","Accepted",FALSE,FALSE,FALSE,2022-02-28
"171","Equisetum sylvaticum","Equisetum","","sylvaticum",NA,NA,"","","tro-26602013",TRUE,"1.1","Accepted","Equisetaceae","Equisetum","","sylvaticum","","","L.","tro-26602013","Accepted",FALSE,FALSE,FALSE,2022-02-28
"172","Equisetum variegatum","Equisetum","","variegatum",NA,NA,"","","tro-26602017",TRUE,"1.1","Accepted","Equisetaceae","Equisetum","","variegatum","","","Schleich. ex F. Weber & D. Mohr","tro-26602017","Accepted",FALSE,FALSE,FALSE,2022-02-28
"173","Eri NA","Eri","","na",NA,NA,"","","",FALSE,"1.1","","","Eri","","na",NA,"","","","",TRUE,FALSE,FALSE,2022-02-28
"174","Eri sch","Eri","","sch",NA,NA,"","","",FALSE,"1.1","","","Eri","","sch",NA,"","","","",TRUE,FALSE,FALSE,2022-02-28
"175","Eria NA","Eria","","na",NA,NA,"","","",FALSE,"1.1","","","Eria","","na",NA,"","","","",FALSE,FALSE,FALSE,2022-02-28
"176","Erigeron borealis","Erigeron","","borealis",NA,NA,"","","gcc-123325",TRUE,"1.1","Accepted","Compositae","Erigeron","","borealis","","","(Vierh.) Simmons","gcc-123325","Accepted",FALSE,FALSE,FALSE,2022-02-28
"177","Eriophorum angustifolium","Eriophorum","","angustifolium",NA,NA,"","","kew-244512",TRUE,"1.1","Accepted","Cyperaceae","Eriophorum","","angustifolium","","","Honck.","kew-244512","Accepted",FALSE,FALSE,FALSE,2022-02-28
"178","Eriophorum chamissonis","Eriophorum","","chamissonis",NA,NA,"","","kew-244534",TRUE,"1.1","Accepted","Cyperaceae","Eriophorum","","chamissonis","","","C.A.Mey.","kew-244534","Accepted",FALSE,FALSE,FALSE,2022-02-28
"179","Eriophorum latifolium","Eriophorum","","latifolium",NA,NA,"","","kew-244565",TRUE,"1.1","Accepted","Cyperaceae","Eriophorum","","latifolium","","","Hoppe","kew-244565","Accepted",FALSE,FALSE,FALSE,2022-02-28
"180","Eriophorum vaginatum","Eriophorum","","vaginatum",NA,NA,"","","kew-244613",TRUE,"1.1","Accepted","Cyperaceae","Eriophorum","","vaginatum","","","L.","kew-244613","Accepted",FALSE,FALSE,FALSE,2022-02-28
"181","Eritrichium villosum","Eritrichium","","villosum",NA,NA,"","","kew-2797971",TRUE,"1.1","Accepted","Boraginaceae","Eritrichium","","villosum","","","(Ledeb.) Bunge","kew-2797971","Accepted",FALSE,FALSE,FALSE,2022-02-28
"182","Erysimum cheiranthoides","Erysimum","","cheiranthoides",NA,NA,"","","kew-2799902",TRUE,"1.1","Accepted","Brassicaceae","Erysimum","","cheiranthoides","","","L.","kew-2799902","Accepted",FALSE,FALSE,FALSE,2022-02-28
